px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-21.9616	-8.55697	4.41306	2.71283	-0.451666	-21.9793	-8.57089	-22.0881	-8.49143	-4.22007	2.32043	0.0275457
-22.1723	-8.45359	4.52077	2.69435	-0.437462	-22.1914	-7.70392	-22.2975	-8.37258	-4.15437	2.43232	2.28914
-22.413	-8.33897	4.60501	2.66921	-0.442322	-22.5838	-8.35296	-22.5035	-8.24817	-4.08564	2.5427	1.58877
-22.5998	-8.23321	4.53818	2.64227	-0.452579	-22.3177	-8.57758	-22.7061	-8.11829	-4.01391	2.65145	0.743781
-22.8615	-7.95433	4.84142	2.55057	-0.537015	-22.9861	-7.6724	-22.9049	-7.98301	-3.93923	2.75848	6.68069
-23.0501	-7.80796	4.73222	2.50387	-0.579499	-23.2693	-8.32031	-23.1	-7.84243	-3.86163	2.8637	3.39379
-23.2868	-7.61478	4.88191	2.46024	-0.597649	-23.4777	-7.56583	-23.2911	-7.69663	-3.78118	2.967	2.25216
-23.4906	-7.46751	4.97989	2.45029	-0.556741	-23.473	-7.02103	-23.4781	-7.54572	-3.69792	3.06828	1.76454
-23.6518	-7.33365	4.89248	2.42909	-0.548666	-23.5408	-7.36069	-23.6609	-7.3898	-3.61191	3.16746	0.751224
-23.8465	-7.16488	4.94954	2.40551	-0.538604	-24.0505	-6.56968	-23.8393	-7.22897	-3.52321	3.26445	0.86331
-23.9964	-7.09646	4.74137	2.41124	-0.50017	-23.9384	-7.26171	-24.0132	-7.06336	-3.43189	3.35916	2.17909
-24.1649	-6.91377	4.74003	2.37253	-0.521972	-24.3577	-5.94086	-24.1825	-6.89307	-3.33801	3.45149	1.95981
-24.3365	-6.63832	4.92369	2.30727	-0.568111	-24.2574	-6.4352	-24.347	-6.71823	-3.24166	3.54138	3.07611
-24.5035	-6.46167	4.87834	2.27521	-0.583276	-24.788	-7.18367	-24.5066	-6.53896	-3.14289	3.62873	3.49067
-24.5885	-6.35122	4.64012	2.25759	-0.568424	-24.3008	-6.43799	-24.6612	-6.35538	-3.0418	3.71347	5.20667
-24.7287	-6.16686	4.64572	2.22844	-0.5675	-24.6108	-6.00878	-24.8107	-6.16764	-2.93846	3.79553	0.303757
-24.9179	-5.94513	4.78181	2.20036	-0.568189	-25.146	-5.91902	-24.955	-5.97587	-2.83295	3.87484	2.89222
-25.05	-5.73754	4.81002	2.16934	-0.567131	-24.8975	-5.02285	-25.094	-5.7802	-2.72537	3.95132	1.84294
-25.1795	-5.57535	4.73249	2.15203	-0.554161	-25.1941	-5.64372	-25.2276	-5.58079	-2.61581	4.02492	0.332124
-25.3342	-5.38629	4.79278	2.14593	-0.513397	-25.5328	-5.4399	-25.3556	-5.37777	-2.50435	4.09557	1.31675
-25.4834	-5.14926	4.88821	2.11631	-0.518553	-25.5713	-5.10241	-25.4779	-5.1713	-2.39109	4.16322	0.597372
-25.6136	-4.97454	4.87098	2.11477	-0.471486	-25.0178	-6.55904	-25.5946	-4.96152	-2.27613	4.22781	6.25629
-25.7246	-4.81614	4.75153	2.10164	-0.458818	-25.6952	-4.89995	-25.7055	-4.7486	-2.15956	4.2893	0.55835
-25.846	-4.6076	4.774	2.08235	-0.449871	-25.8162	-4.40681	-25.8105	-4.53268	-2.04149	4.34764	0.174057
-25.9634	-4.34983	4.87809	2.0483	-0.463831	-25.9516	-4.26659	-25.9096	-4.31392	-1.92202	4.40279	0.491405
-26.0715	-4.12883	4.80822	2.00236	-0.523197	-26.8953	-4.43966	-26.0027	-4.0925	-1.80125	4.45471	11.2301
-26.1681	-3.82465	4.98785	1.95558	-0.547844	-26.1198	-3.67723	-26.0897	-3.86856	-1.67928	4.50337	1.62543
-26.2418	-3.58363	4.94571	1.90248	-0.606033	-26.5652	-3.85723	-26.1706	-3.64227	-1.55623	4.54875	3.4413
-26.2691	-3.31937	4.96712	1.85059	-0.629773	-25.9974	-3.24722	-26.2453	-3.41381	-1.4322	4.59081	4.20306
-26.3192	-3.07122	4.96313	1.8048	-0.658464	-26.2976	-3.01078	-26.3138	-3.18332	-1.30729	4.62954	0.38432
-26.3395	-2.85171	4.8865	1.76514	-0.66577	-26.1741	-2.87885	-26.376	-2.95098	-1.18162	4.66493	1.51893
-26.3972	-2.63026	4.8562	1.74489	-0.643076	-26.4681	-3.44967	-26.4319	-2.71697	-1.05529	4.69696	1.52605
-26.4672	-2.51497	4.58433	1.74053	-0.6141	-26.674	-2.73852	-26.4815	-2.48143	-0.928411	4.72562	5.65063
-26.5226	-2.28429	4.61441	1.72527	-0.582437	-26.657	-1.72382	-26.5247	-2.24456	-0.80109	4.75091	1.14213
-26.571	-2.09779	4.52389	1.70656	-0.571405	-26.6691	-2.17333	-26.5616	-2.0065	-0.673434	4.77284	0.893484
-26.602	-1.86698	4.54753	1.68843	-0.544093	-26.3248	-1.32261	-26.5921	-1.76744	-0.545553	4.79141	2.09211
-26.6018	-1.60242	4.6291	1.64914	-0.557188	-26.4671	-1.53207	-26.6161	-1.52753	-0.417552	4.80664	1.28876
-26.5984	-1.38203	4.59544	1.60634	-0.58824	-26.4998	-2.19526	-26.6338	-1.28695	-0.289538	4.81852	1.56863
-26.6027	-1.14887	4.604	1.57653	-0.588658	-26.5998	-1.14277	-26.6451	-1.04586	-0.161616	4.8271	0.00307334
-26.6319	-0.932976	4.57625	1.56249	-0.567216	-27.2008	-1.67679	-26.65	-0.804425	-0.0338883	4.83238	5.10635
-26.6447	-0.662896	4.68099	1.53924	-0.561172	-26.7355	-0.59539	-26.6485	-0.562811	0.0935412	4.83439	0.765499
-26.632	-0.418816	4.71415	1.50008	-0.589572	-26.9891	0.0351487	-26.6406	-0.321181	0.220572	4.83317	2.3028
-26.5876	-0.0929117	4.93342	1.46027	-0.599558	-26.4553	0.0602653	-26.6264	-0.0796947	0.347104	4.82874	2.58448
-26.5681	0.152657	4.94121	1.43136	-0.60374	-26.9537	0.136943	-26.6059	0.161489	0.473041	4.82116	2.75542
-26.5441	0.464192	5.10492	1.40748	-0.595701	-26.6201	0.57588	-26.5792	0.402213	0.598287	4.81045	1.19377
-26.5325	0.707697	5.06501	1.4007	-0.552804	-26.8241	0.381506	-26.5462	0.642323	0.722748	4.79667	1.86864
-26.5246	0.994452	5.15244	1.38843	-0.53588	-26.7293	1.06082	-26.5069	0.881666	0.846334	4.77986	2.51846
-26.4861	1.27019	5.17986	1.38358	-0.483118	-25.9562	2.60409	-26.4616	1.12009	0.968955	4.76007	6.74026
-26.4301	1.48602	5.08942	1.35547	-0.487984	-26.3986	1.42212	-26.4101	1.35745	1.09053	4.73737	0.339945
-26.3914	1.6962	4.9801	1.34198	-0.464891	-26.5072	-0.563928	-26.3526	1.59361	1.21096	4.71181	8.62534
-26.3386	1.88327	4.84707	1.31689	-0.467815	-26.3594	1.79315	-26.2891	1.82841	1.33018	4.68345	0.605149
-26.2703	2.112	4.84608	1.28739	-0.481595	-26.3475	1.82827	-26.2197	2.06173	1.44811	4.65235	0.280607
-26.2109	2.28336	4.69808	1.26158	-0.484609	-26.2502	2.18481	-26.1444	2.29342	1.56467	4.61859	0.783778
-26.1486	2.50139	4.65673	1.24933	-0.457078	-26.069	2.27896	-26.0633	2.52336	1.67979	4.58223	0.678984
-26.0694	2.75345	4.73398	1.22895	-0.45364	-26.0641	2.80701	-25.9765	2.75141	1.79339	4.54334	0.20594
-25.9745	2.9761	4.78818	1.18618	-0.502128	-26.3234	3.02388	-25.8841	2.97746	1.90543	4.502	2.94829
-25.8685	3.28091	4.99208	1.16757	-0.492805	-25.8345	3.42005	-25.7861	3.20139	2.01582	4.45828	1.4527
-25.7849	3.5145	4.99681	1.14882	-0.487594	-26.1824	3.73376	-25.6826	3.42306	2.12452	4.41227	2.12176
